symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
KCNH4	-0.0466666666666667	0.0733333333333333	-0.410128905694414	0.691860578089676	0.818756482710608	-7.85072456576328	Ns
TGM5	0.0466666666666667	-0.0333333333333333	0.385659142203093	0.709228062466534	0.829150982629142	-7.86139433650939	Ns
RNU6-204P	0.0466666666666667	0.0466666666666667	0.353732662737881	0.732158621703531	0.84485696584039	-7.8743612721484	Ns
CSF2RB	-0.0466666666666667	-0.0833333333333333	-0.353573274124863	0.732273837311662	0.844877472737287	-7.87442328387798	Ns
NEUROG1	0.0466666666666667	-0.12	0.338739917903329	0.743027215773504	0.851347450646664	-7.88007542856575	Ns
TRPM5	0.0466666666666667	0.0233333333333333	0.326086546116346	0.752247534245766	0.856461984302969	-7.88471051157371	Ns
MT-TP	-0.0466666666666667	0.366666666666667	-0.307974148227239	0.765518656318031	0.865231721197049	-7.89104560074917	Ns
TPTE2P3	-0.0466666666666667	0.0733333333333333	-0.300762088560043	0.770826083027462	0.868660841172085	-7.89346962006478	Ns
RNU6-158P	0.0466666666666667	-0.16	0.294278655652955	0.775608194273675	0.871731696192146	-7.89560074152671	Ns
SLC25A34	-0.0466666666666667	0.0733333333333333	-0.292579262670479	0.776863328060374	0.872721530202108	-7.89615181087668	Ns
ZNF503-AS2	0.0466666666666667	-0.123333333333333	0.178744275147304	0.862328266717201	0.923294970248888	-7.92589329530342	Ns
RNU6-417P	-0.0466666666666667	-0.0133333333333333	-0.79797427750663	0.446616609689357	0.623932682481465	-7.60097848093383	Ns
C1orf85	0.0466666666666667	0.04	0.797364638254635	0.446951838521114	0.624227378979603	-7.60148347065333	Ns
MIR202	-0.0466666666666667	-0.03	-0.771298545801268	0.461443275318174	0.637476048713217	-7.62276294826836	Ns
RNU6-855P	-0.0466666666666667	0.04	-0.763161850403835	0.46602997199343	0.641415348885171	-7.62927974434983	Ns
DDX39B	-0.0466666666666667	-0.0333333333333333	-0.746630377030523	0.475440807034624	0.649346550809023	-7.64233413356347	Ns
RNU4-91P	-0.0466666666666667	-0.0166666666666667	-0.743648671631767	0.477151272079138	0.651224729071176	-7.64466204091116	Ns
RN7SKP199	-0.0466666666666667	-0.0166666666666667	-0.743648671631767	0.477151272079138	0.651224729071176	-7.64466204091116	Ns
AASDHPPT	-0.0466666666666667	-0.00666666666666667	-0.743648671631767	0.477151272079138	0.651224729071176	-7.64466204091116	Ns
SPNS3	0.0466666666666667	-0.02	0.738757572982777	0.479965693764312	0.653831248537356	-7.64846295520118	Ns
MMP1	-0.0466666666666667	-0.07	-0.721916822042593	0.489737861799466	0.662506259502011	-7.66138097295713	Ns
RPS2P45	-0.0466666666666667	-0.05	-0.716554083895385	0.492876172912181	0.665014759874042	-7.66543930257279	Ns
OR9K2	-0.0466666666666667	-0.04	-0.696239320148385	0.504879735447164	0.675384950586412	-7.68056898595284	Ns
HMHB1	0.0466666666666667	-0.03	0.682088466241136	0.513348166091273	0.682482785185632	-7.69087857282971	Ns
WNT2B	-0.0466666666666667	-0.04	-0.682088466241136	0.513348166091273	0.682482785185632	-7.69087857282971	Ns
ABHD15	0.0466666666666667	-0.0466666666666667	0.672388770626445	0.519203181289853	0.687560712859239	-7.69783566539997	Ns
RN7SKP148	-0.0466666666666667	-0.0333333333333333	-0.668049400710489	0.521835729944107	0.689792726735895	-7.70091907977435	Ns
LMOD2	-0.0466666666666667	-0.0233333333333333	-0.666977622224267	0.5224871924232	0.690340645907456	-7.70167788397523	Ns
DUXA	-0.0466666666666667	-0.0233333333333333	-0.662741520656653	0.525066874668696	0.692140356761682	-7.70466624283966	Ns
CUL9	0.0466666666666667	-0.0333333333333333	0.641754161079248	0.537960936897721	0.703171754600144	-7.71921785424778	Ns
LOC641515	0.0466666666666667	-0.0833333333333333	0.640803849543556	0.538549216556451	0.703585571204103	-7.71986671406798	Ns
ACPT	-0.0466666666666667	0.0233333333333333	-0.624389182187684	0.548770595967988	0.711996961282555	-7.73093636737606	Ns
PPP1R2P10	0.0466666666666667	0.0133333333333333	0.589038911107345	0.571163398339485	0.730511185046281	-7.75388260416472	Ns
DCAF8	-0.0466666666666667	-0.0833333333333333	-0.586114932336133	0.573038505728055	0.73190532951577	-7.75572554242054	Ns
LOC101930026	0.0466666666666667	0.0133333333333333	0.564839672908764	0.586785464267767	0.7434895603736	-7.7688796829325	Ns
OR6C76	-0.0466666666666667	0.0366666666666667	-0.563545369068983	0.587627595001303	0.743984569259033	-7.76966539304613	Ns
IFNB1	0.0466666666666667	-0.0433333333333333	0.555343867066361	0.592979203807521	0.747744754809386	-7.77460522079313	Ns
LOC283693	-0.0466666666666667	-0.02	-0.540908812823721	0.602462170255101	0.754477771325326	-7.78313579095625	Ns
MBL2	0.0466666666666667	-0.0333333333333333	0.537146484422896	0.604947047211589	0.755939062389321	-7.7853247534303	Ns
EGR3	-0.0466666666666667	-0.0633333333333333	-0.503693592658236	0.627277603925566	0.772398516203147	-7.80415785909638	Ns
CPA1	-0.0466666666666667	-0.0233333333333333	-0.500953152284259	0.629125417747733	0.77337779383004	-7.80565020783763	Ns
PAX5	0.0466666666666667	0.01	0.498554389091926	0.630745109142539	0.774544004267543	-7.80695019205432	Ns
RN7SL266P	0.0466666666666667	0.04	0.496777760098397	0.631946080630152	0.775198279012998	-7.80790922382177	Ns
EXTL1	-0.0466666666666667	-0.0333333333333333	-0.48457782369286	0.640223997521762	0.781343303527098	-7.81440743916538	Ns
LOC100131170	-0.0466666666666667	-0.02	-0.478410462434352	0.644429061839587	0.784032371681121	-7.81763427219716	Ns
USP6	-0.0466666666666667	0.0333333333333333	-0.477361726185819	0.645145465862732	0.784371693941715	-7.81817908803747	Ns
OLIG1	0.0466666666666667	-0.0766666666666667	0.458892498740308	0.657825455884974	0.79385898711267	-7.82758775119321	Ns
C7orf61	0.0466666666666667	-0.08	0.429481658725237	0.678259009170133	0.809140744573286	-7.84183967847755	Ns
PRR25	0.0466666666666667	0.01	0.326671198344019	0.7518205688551	0.856143157194792	-7.88450013591207	Ns
ATP8B5P	-0.0466666666666667	-0.02	-0.801043588701585	0.444931430625336	0.622569006866207	-7.59843100022608	Ns
