symbol	loading
PRSS2	-0.0138027368538982
SMARCA5	-0.0138025707309972
TOX4	-0.0138019501049728
RTFDC1	-0.0138011002758571
C15orf38-AP3S2	-0.0137986282092324
MAPK8	-0.0137984865377279
NCOA1	-0.0137965398547156
GTF2E2	-0.0137935334809204
CKS2	-0.013792340355026
HGSNAT	-0.0137914609127143
IFT20	-0.0137908838134387
DCTN4	-0.0137907511959169
PPP1R8	-0.0137897691207651
UBAP2	-0.0137887272205412
PLK2	-0.0137863893520109
ARL2BP	-0.0137860141345072
RNFT1	-0.0137826266298046
CTBS	-0.0137819382448193
HUWE1	-0.0137803964378045
TSPAN14	-0.0137803029530454
MFAP4	-0.0137794175039473
GABPB1	-0.013778728945169
ARF5	-0.0137775374350678
RYBP	-0.0137774124495837
PPFIBP1	-0.0137764528215167
LHFPL2	-0.0137758914952032
CRISP2	-0.013775339680049
FAF1	-0.0137751602549237
PSMA1	-0.0137740350800274
MED23	-0.0137726072274201
RAP2C	-0.0137714980584674
HNF1B	-0.0137713307711063
INTS8	-0.0137709380046517
IGBP1	-0.0137704745084718
CDIPT	-0.0137689899721453
KLHL20	-0.0137687378204067
FTH1P5	-0.0137677865181429
CYTH2	-0.0137646989400705
RGS5	-0.0137627578801899
SREK1IP1	-0.0137620078961812
LRRC3	-0.0137616868508013
PGK1	-0.0137616535414166
PFDN1	-0.0137597130197837
SNX2	-0.0137594383663871
MCL1	-0.0137591274174455
EXOC1	-0.0137522376679386
KLHL24	-0.0137515747188952
TRIM13	-0.0137514107072129
POP4	-0.0137489345389716
LASP1	-0.0137477270019922
ARIH1	-0.0137458250551869
GDF3	-0.0137425318407174
CXCL5	0.0137418018206974
IP6K2	-0.0137411963168408
PTPRZ1	0.0137404809637602
POMP	-0.0137381179521188
CAMKV	0.0137371777369092
RFXANK	-0.0137370063041605
PIK3R1	-0.0137363591385277
PIK3C3	-0.0137360272967341
RRP1	0.0137349921341417
RASA1	-0.013734649021659
CITED2	-0.0137339875554186
ARL4D	-0.0137332178197613
BAG3	-0.0137305296149496
PCBD1	-0.0137270369465115
FAM21A	-0.013726230857773
TMEM257	-0.013724059378261
ZMIZ1	-0.0137240275811838
KLF7	-0.0137235130849255
ACTG1	-0.0137233169479659
ANKRD46	-0.0137226456603499
COLEC12	-0.0137212478602628
DDHD2	-0.013719021465917
CCDC53	-0.0137133205450377
UBR7	-0.0137101386442427
FARP1	-0.0137084590193879
SKIL	-0.0137084469416424
AP2B1	-0.0137084161647795
MYL4	-0.0137064186539744
NIT1	-0.0137031281660958
DIAPH2	-0.0137024836414317
ZFPL1	-0.0137010609821723
ESD	-0.0137008800746751
MEAF6	-0.0137000292698614
DIO3	-0.0136986344304313
TACSTD2	0.013698473222391
PPM1A	-0.0136979268375862
HNRNPU	-0.013697098646666
RNF19A	-0.013696320990791
C16orf80	-0.0136962651963278
RNF103	-0.0136938570400149
FBXO7	-0.0136932800633483
VPS13B	-0.0136932572126175
HLTF	-0.0136886135473605
ZNF318	-0.0136840719785148
THOC7	-0.0136811606971107
COL13A1	-0.0136809464988966
SEL1L	-0.0136808977436003
VPS39	-0.0136796870989474
TULP3	-0.0136789670441351
VANGL1	-0.0136786847100809
ABHD6	-0.0136785473785294
RPS6KC1	-0.013677446367899
ETS1	-0.0136765051262619
USP21	-0.0136758951523822
PORCN	-0.0136756270233579
COQ10B	-0.0136750827044361
CKAP5	-0.013673962044207
ANKH	-0.0136733421957601
CLTA	-0.0136723129808382
TRIM45	0.0136720250154446
ACE2	-0.0136712134469959
CXCL14	-0.0136711267106563
TSPAN5	0.0136705280517674
UEVLD	-0.013669750662378
SNRNP27	-0.0136656014326939
GABRE	-0.0136651459343996
LDLRAD4	-0.0136644984772965
INVS	-0.0136641094874644
RP2	-0.0136636544217907
RAB25	-0.0136609376706655
ZNF286A	0.0136603806794754
DYNC2LI1	-0.013660379466567
TCF20	-0.0136588919665508
RAP2A	-0.0136587550065379
ENC1	-0.0136580085480739
HSBP1	-0.0136575150922556
DNAL4	-0.0136538020478677
TMEM230	-0.0136520108609256
MARCH5	-0.0136516347874729
JUND	-0.0136510949588031
NUDT4	-0.0136507122137075
ITPKB	-0.0136479642851295
TUBA1B	-0.0136454235175724
TNIP1	-0.0136452288860142
AMOTL2	-0.013643166634423
VAV3	-0.0136421617236271
ZNF609	-0.0136404374634948
SNAP29	-0.013639435362789
BAG6	-0.0136390631235704
THBS4	0.0136375839478305
AGPAT1	-0.0136367372754802
SYNE1	-0.0136350850076156
TERF2IP	-0.0136308403504009
IFT74	-0.013629203125468
BRD2	-0.0136245264907534
SNX6	-0.013622740129639
RXRB	-0.0136225099414995
MOB1A	-0.0136224196556258
NAPG	-0.0136212749218268
ELF1	-0.0136207679162315
RNF216	-0.0136175565735281
DCTN6	-0.0136156961582556
DENND5B	-0.0136149618638598
CER1	-0.0136106050356296
TADA2A	-0.0136105449651087
SEMA6D	-0.0136058411370847
ARHGEF2	-0.0136049380888653
PI4KAP2	-0.0136044679977599
PIP4K2C	-0.0136043755085361
MXI1	-0.0136034934042604
ACSF2	-0.0135975765960733
PSMB7	-0.0135960846330571
C12orf5	-0.0135953152377227
PFDN5	-0.0135929700112648
FRZB	-0.0135911497124602
CIB1	-0.0135897991167822
TINF2	-0.0135893544874857
VPS72	-0.0135883879581235
TMSB4X	-0.0135881811283568
CSNK2A2	-0.0135869196856728
AGL	-0.0135857021045914
STAM2	-0.0135853926593184
PTMS	-0.0135828983937125
ITGB5	-0.0135828724303861
PRICKLE4	-0.0135821712994129
